model,ver_name,brand
ADT-AN00,#5G,honor
AGT-AN00,#5G,honor
AKA-AL10,#,honor
AKA-L29,#,honor
ALA-AN70,#5G,honor
ALE-L02,#,huawei
ALE-L04,#,huawei
ALE-L21,#,huawei
ALE-L23,#,huawei
ALH-BD00,#5G,zhixuan
ALI-AN00,#5G,honor
ALN-AL00,#,huawei
ALN-AL80,#,huawei
ALN-LX9,#,huawei
ALP-AL00,#全网通版,huawei
ALP-L09,#Single SIM,huawei
ALP-L29,#Dual SIM,huawei
ALP-TL00,#移动 4G+ 版,huawei
ALT-AL00,#,huawei
ALT-L29,#,huawei
AMN-LX1,#Dual SIM,huawei
AMN-LX2,#Dual SIM,huawei
AMN-LX3,#Single SIM #Dual SIM,huawei
AMN-LX9,#Single SIM #Dual SIM,huawei
ANA-AL00,#4G 全网通版,huawei
ANA-AN00,#5G 全网通版,huawei
ANA-NX9,#Dual SIM,huawei
ANA-TN00,#5G 移动版,huawei
ANB-AN00,#5G,honor
ANE-AL00,#全网通版,huawei
ANE-LX1,#,huawei
ANE-LX2,#,huawei
ANE-LX2J,#,huawei
ANE-LX3,#,huawei
ANE-TL00,#移动 4G+ 版,huawei
ANG-AN00,#5G,huawei
ANG-LX1,#,huawei
ANG-LX2,#,huawei
ANN-AN00,#5G,honor
ANP-AN00,#5G,honor
ANY-AN00,#5G,honor
ANY-LX1,# #,honor
ANY-LX2,#,honor
ANY-LX3,#,honor
ANY-NX1,# #,honor
AQM-AL00,#全网通版,huawei
AQM-AL10,#,honor
AQM-LX1,# #Single SIM #Dual SIM,huawei
AQM-TL00,#移动 4G+ 版,huawei
ARE-AL00,#全网通版 (骁龙 636),honor
ARE-AL10,#全网通版 (骁龙 660),honor
ARE-TL00,#移动 4G+ 版 (骁龙 636),honor
ARS-AL00,#全网通版,huawei
ARS-TL00,#移动 4G+ 版,huawei
ART-AL00m,#全网通版,huawei
ART-AL00x,#全网通版,huawei
ART-L28,#Single SIM #Dual SIM,huawei
ART-L29,#Dual SIM #Dual SIM,huawei
ART-L29N,#Dual SIM,huawei
ART-T0,#,coolpad
ART-TL00x,#移动 4G+ 版,huawei
ASK-AL00x,#全网通版 (麒麟 710F),honor
ASK-AL20,#全网通版 (麒麟 710A),honor
